Timestamp (s),RR Interval (ms),Event
925.801,733.398,
926.791,757.813,
927.826,694.336,
927.826,702.148,
928.860,722.656,
929.851,648.438,
929.851,610.352,
930.840,599.609,
931.786,625.977,
932.776,716.797,
932.776,782.227,
933.816,813.477,
934.801,847.656,
935.791,848.633,
935.791,845.703,
936.780,736.328,
937.816,654.297,
937.816,643.555,
938.807,643.555,
939.795,622.070,
939.795,605.469,
940.786,628.906,
941.776,686.523,
942.811,750.977,
942.811,777.344,
943.801,719.727,
944.790,717.773,
944.790,737.305,
945.781,726.563,
946.815,672.852,
946.815,656.250,
947.805,656.250,
948.795,654.297,
948.795,609.375,
949.785,605.469,
949.785,576.172,
950.775,572.266,
950.775,591.797,
951.811,572.266,
952.800,584.961,
952.800,624.023,
953.790,675.781,
954.780,669.922,
954.780,665.039,
955.815,658.203,
956.805,671.875,
956.805,673.828,
957.795,641.602,
958.784,625.000,
958.784,619.141,
959.820,633.789,
960.823,644.531,
960.823,633.789,
961.801,617.188,
961.801,628.906,
962.794,647.461,
963.779,665.039,
963.779,639.648,
964.861,627.930,
965.817,632.813,
965.817,644.531,
966.795,647.461,
966.795,613.281,
967.785,585.938,
